Review_ID,Sentence_ID,Text,Token_Text,Opinion_Target,Opinion_Category,Opinion_Polarity
1004293,1004293:0,judging from previous posts this used to be a good place but not any longer,judging previous post used good place longer,place,RESTAURANT#GENERAL,negative
1004293,1004293:1,we there were four of us arrived at noon the place was empty and the staff acted like we were imposing on them and they were very rude,four arrived noon place empty staff acted like imposing rude,staff,SERVICE#GENERAL,negative
1004293,1004293:2,they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table,never brought complimentary noodle ignored repeated request sugar threw dish table,service,SERVICE#GENERAL,negative
1004293,1004293:3,the food was lousy too sweet or too salty and the portions tiny,food lousy sweet salty portion tiny,food,FOOD#QUALITY,negative
1004293,1004293:3,the food was lousy too sweet or too salty and the portions tiny,food lousy sweet salty portion tiny,portions,FOOD#STYLE_OPTIONS,negative
1004293,1004293:4,after all that they complained to me about the small tip,complained small tip,service,SERVICE#GENERAL,negative
1004293,1004293:5,avoid this place,avoid place,place,RESTAURANT#GENERAL,negative
1014458,1014458:0,i have eaten at saul many times the food is always consistently outrageously good,eaten saul many time food always consistently outrageously good,food,FOOD#QUALITY,positive
1014458,1014458:1,saul is the best restaurant on smith street and in brooklyn,saul best restaurant smith street brooklyn,Saul,RESTAURANT#GENERAL,positive
1014458,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world,duck confit always amazing foie gras terrine fig world,foie gras terrine with figs,FOOD#QUALITY,positive
1014458,1014458:2,the duck confit is always amazing and the foie gras terrine with figs was out of this world,duck confit always amazing foie gras terrine fig world,duck confit,FOOD#QUALITY,positive
1014458,1014458:3,the wine list is interesting and has many good values,wine list interesting many good value,wine list,DRINKS#STYLE_OPTIONS,positive
1014458,1014458:3,the wine list is interesting and has many good values,wine list interesting many good value,wine list,DRINKS#PRICES,positive
1014458,1014458:4,for the price you cannot eat this well in manhattan,price eat well manhattan,restaurant,RESTAURANT#PRICES,positive
1014458,1014458:4,for the price you cannot eat this well in manhattan,price eat well manhattan,food,FOOD#QUALITY,positive
1016296,1016296:0,i was very disappointed with this restaurant,disappointed restaurant,restaurant,RESTAURANT#GENERAL,negative
1016296,1016296:1,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away,ive asked cart attendant lotus leaf wrapped rice replied back rice walked away,cart attendant,SERVICE#GENERAL,negative
1016296,1016296:2,i had to ask her three times before she finally came back with the dish ive requested,ask three time finally came back dish ive requested,service,SERVICE#GENERAL,negative
